hv(eV),n(hV),I(hv)(eV),eta_SQ,eta_UL
0.4428,146924400000.0,1.042347e-08,0.1185,0.2956
0.4436,32097500.0,2.281213e-12,0.1189,0.2961
0.4444,10731500.0,7.640693e-13,0.1193,0.2966
0.4452,0.0003408808,2.431386e-23,0.1197,0.2972
0.446,4.193132e-11,2.996197e-30,0.1201,0.2977
0.4468,3.469745e-15,2.483769e-34,0.1206,0.2982
0.4476,0.7230925,5.1855e-20,0.121,0.2988
0.4484,0.0002298288,1.651148e-23,0.1214,0.2993
0.4492,0.0,0.0,0.1218,0.2999
0.45,5.710732e-21,4.117624e-40,0.1223,0.3004
0.4509,1.40578e-05,1.015456e-24,0.1227,0.3009
0.4517,1.104022,7.989362e-20,0.1231,0.3015
0.4525,0.0001947268,1.41173e-23,0.1236,0.302
0.4533,455.9388,3.311508e-17,0.124,0.3026
0.4542,50173.8,3.650824e-15,0.1245,0.3032
0.455,59.92288,4.368202e-18,0.1249,0.3037
0.4558,4.579889e-22,3.344742e-41,0.1254,0.3043
0.4567,0.003133069,2.292327e-22,0.1258,0.3048
0.4575,9.091123e-13,6.663845e-32,0.1262,0.3054
0.4584,2.355857e-19,1.730048e-38,0.1267,0.306
0.4592,0.0,0.0,0.1271,0.3065
0.4601,5.665334e-10,4.175835e-29,0.1276,0.3071
0.4609,8.082017e-07,5.96821e-26,0.1281,0.3077
0.4618,0.0,0.0,0.1285,0.3082
0.4626,0.0,0.0,0.129,0.3088
0.4635,0.0,0.0,0.1294,0.3094
0.4644,0.0,0.0,0.1299,0.31
0.4652,8.548122e-15,6.371624e-34,0.1304,0.3105
0.4661,0.01992094,1.487664e-21,0.1308,0.3111
0.467,9.979635e-05,7.466666e-24,0.1313,0.3117
0.4679,10801.37,8.09673e-16,0.1318,0.3123
0.4687,67611.22,5.077731e-15,0.1322,0.3129
0.4696,8778227.0,6.605101e-13,0.1327,0.3135
0.4705,28991070.0,2.185547e-12,0.1332,0.3141
0.4714,2.070072e-22,1.563531e-41,0.1337,0.3147
0.4723,2.841254e-05,2.150094e-24,0.1342,0.3153
0.4732,4.126178e-06,3.128407e-25,0.1346,0.3159
0.4741,8.128963e-15,6.175044e-34,0.1351,0.3165
0.475,4.291495e-11,3.266215e-30,0.1356,0.3171
0.4759,4.166823e-12,3.177415e-31,0.1361,0.3177
0.4769,3.205085e-05,2.448741e-24,0.1366,0.3183
0.4778,1.620419e-10,1.240414e-29,0.1371,0.3189
0.4787,3.865285e-08,2.964547e-27,0.1376,0.3195
0.4796,1.205912e-11,9.266842e-31,0.1381,0.3202
0.4806,26.64641,2.051614e-18,0.1386,0.3208
0.4815,7.477377e-05,5.768311e-24,0.1391,0.3214
0.4824,105160.9,8.12826e-15,0.1396,0.322
0.4834,1093241000.0,8.466527e-11,0.1401,0.3227
0.4843,2113094000000.0,1.639666e-07,0.1406,0.3233
0.4853,70667920000000.0,5.494245e-06,0.1411,0.3239
0.4862,19000520000.0,1.480137e-09,0.1416,0.3246
0.4872,3598020000000.0,2.808358e-07,0.1422,0.3252
0.4881,2.509481e+16,0.001962577,0.1427,0.3258
0.4891,1.157654e+16,0.0009071464,0.1432,0.3265
0.4901,4.181461e+16,0.0032831,0.1437,0.3271
0.491,2.705629e+18,0.2128548,0.1442,0.3278
0.492,2.407653e+19,1.897885,0.1448,0.3284
0.493,3.350974e+19,2.64673,0.1453,0.3291
0.494,1.423006e+20,11.26185,0.1458,0.3297
0.4949,9.695422e+19,7.688393,0.1464,0.3304
0.4959,4.481673e+20,35.61039,0.1469,0.331
0.4969,1.814424e+20,14.44591,0.1474,0.3316
0.4979,2.201016e+20,17.55902,0.148,0.3323
0.4989,3.495543e+20,27.94248,0.1485,0.3329
0.4999,4.97899e+20,39.88101,0.149,0.3336
0.5009,1.012933e+21,81.29841,0.1495,0.3342
0.502,1.023449e+21,82.3087,0.1501,0.3348
0.503,1.468551e+21,118.3447,0.1506,0.3354
0.504,2.016636e+21,162.843,0.151,0.3359
0.505,1.493105e+21,120.8135,0.1515,0.3364
0.5061,8.127284e+20,65.89553,0.152,0.337
0.5071,1.234285e+21,100.2797,0.1526,0.3376
0.5081,2.550954e+21,207.6775,0.1531,0.3382
0.5092,8.721649e+20,71.15022,0.1536,0.3387
0.5102,2.627501e+21,214.7896,0.154,0.3393
0.5113,1.915277e+21,156.8904,0.1545,0.3398
0.5123,1.530106e+21,125.598,0.155,0.3403
0.5134,1.561246e+21,128.4194,0.1555,0.3409
0.5145,1.921728e+21,158.3987,0.156,0.3414
0.5155,1.897705e+21,156.7438,0.1565,0.342
0.5166,2.478116e+21,205.1101,0.157,0.3425
0.5177,2.264308e+21,187.8048,0.1575,0.343
0.5188,2.05698e+21,170.9656,0.158,0.3435
0.5198,1.698007e+21,141.4255,0.1585,0.3441
0.5209,2.329207e+21,194.4051,0.159,0.3446
0.522,2.401315e+21,200.8455,0.1595,0.3451
0.5231,1.665684e+21,139.6114,0.16,0.3457
0.5242,2.65373e+21,222.8959,0.1605,0.3462
0.5254,2.681124e+21,225.674,0.161,0.3467
0.5265,2.517541e+21,212.3549,0.1615,0.3472
0.5276,2.188696e+21,185.0096,0.162,0.3477
0.5287,2.691218e+21,227.9726,0.1625,0.3482
0.5298,2.384577e+21,202.4287,0.163,0.3487
0.531,2.996392e+21,254.9109,0.1634,0.3492
0.5321,2.91848e+21,248.8155,0.1639,0.3496
0.5333,2.868654e+21,245.0936,0.1644,0.3501
0.5344,2.638052e+21,225.8769,0.1649,0.3506
0.5356,2.92882e+21,251.3149,0.1654,0.3511
0.5367,3.196613e+21,274.8873,0.1658,0.3515
0.5379,2.942245e+21,253.5622,0.1663,0.352
0.5391,2.905997e+21,250.9828,0.1668,0.3525
0.5402,3.006891e+21,260.2625,0.1673,0.3529
0.5414,3.082607e+21,267.3987,0.1678,0.3534
0.5426,3.055677e+21,265.6427,0.1682,0.3538
0.5438,3.190044e+21,277.9319,0.1687,0.3543
0.545,3.060721e+21,267.2508,0.1692,0.3547
0.5462,3.080765e+21,269.5934,0.1697,0.3552
0.5474,3.214732e+21,281.9377,0.1702,0.3557
0.5486,3.136872e+21,275.7179,0.1706,0.3561
0.5498,3.151529e+21,277.6204,0.1711,0.3566
0.551,3.327032e+21,293.7319,0.1716,0.357
0.5523,3.254412e+21,287.9604,0.1721,0.3574
0.5535,3.336764e+21,295.9062,0.1726,0.3579
0.5547,3.368005e+21,299.3448,0.173,0.3583
0.556,3.411821e+21,303.9191,0.1735,0.3587
0.5572,3.374611e+21,301.28,0.174,0.3592
0.5585,3.453065e+21,308.9786,0.1745,0.3596
0.5597,3.365497e+21,301.8228,0.1749,0.36
0.561,3.476076e+21,312.445,0.1754,0.3604
0.5623,3.221613e+21,290.2294,0.1759,0.3609
0.5636,3.078346e+21,277.953,0.1764,0.3613
0.5648,3.391906e+21,306.9629,0.1769,0.3618
0.5661,3.372021e+21,305.86,0.1774,0.3622
0.5674,3.157615e+21,287.0677,0.1779,0.3627
0.5687,3.441299e+21,313.5758,0.1784,0.3631
0.57,3.360858e+21,306.9499,0.1788,0.3635
0.5714,3.401959e+21,311.4196,0.1793,0.364
0.5727,3.144216e+21,288.4902,0.1798,0.3644
0.574,3.4441e+21,316.7368,0.1803,0.3648
0.5753,3.447463e+21,317.7818,0.1808,0.3653
0.5767,3.415412e+21,315.5595,0.1813,0.3657
0.578,3.585867e+21,332.0806,0.1818,0.3661
0.5794,3.611823e+21,335.2658,0.1823,0.3665
0.5807,3.557997e+21,331.0429,0.1827,0.3669
0.5821,3.522464e+21,328.5062,0.1832,0.3673
0.5835,3.453222e+21,322.8064,0.1837,0.3677
0.5848,3.388515e+21,317.5046,0.1842,0.3682
0.5862,3.521516e+21,330.747,0.1847,0.3686
0.5876,3.419591e+21,321.9351,0.1852,0.369
0.589,3.527852e+21,332.9161,0.1857,0.3694
0.5904,3.238804e+21,306.367,0.1862,0.3699
0.5918,3.350651e+21,317.7033,0.1867,0.3703
0.5932,3.302735e+21,313.9092,0.1872,0.3707
0.5946,3.131952e+21,298.3909,0.1877,0.3712
0.5961,3.171954e+21,302.9285,0.1883,0.3717
0.5975,2.809271e+21,268.938,0.1888,0.3721
0.599,2.365238e+21,226.9766,0.1894,0.3727
0.6004,2.212242e+21,212.8086,0.1899,0.3733
0.6019,2.455958e+21,236.8265,0.1905,0.3738
0.6033,1.934695e+21,187.0153,0.1911,0.3744
0.6048,2.376081e+21,230.2417,0.1918,0.375
0.6063,3.162507e+21,307.1955,0.1923,0.3756
0.6078,3.094796e+21,301.3551,0.1928,0.376
0.6093,3.298104e+21,321.9412,0.1934,0.3765
0.6108,2.882225e+21,282.0385,0.1939,0.377
0.6123,2.495299e+21,244.779,0.1945,0.3775
0.6138,1.50536e+21,148.0354,0.1951,0.3781
0.6153,8.852113e+20,87.26668,0.1958,0.3789
0.6168,1.310571e+21,129.5213,0.1965,0.3797
0.6184,4.90931e+20,48.63879,0.1973,0.3805
0.6199,1.239396e+21,123.0996,0.198,0.3813
0.6215,2.61751e+21,260.6286,0.1987,0.382
0.623,2.739404e+21,273.4511,0.1993,0.3825
0.6246,2.637827e+21,263.9748,0.1998,0.383
0.6262,2.379955e+21,238.7702,0.2004,0.3836
0.6278,2.122526e+21,213.4827,0.2011,0.3842
0.6294,1.51633e+21,152.8988,0.2018,0.3849
0.631,8.79931e+20,88.95343,0.2025,0.3857
0.6326,6.697126e+20,67.87487,0.2033,0.3866
0.6342,3.044795e+20,30.93769,0.2041,0.3875
0.6358,5.035923e+20,51.30043,0.2049,0.3884
0.6375,3.245381e+20,33.14536,0.2057,0.3893
0.6391,9.730029e+19,9.962975,0.2065,0.3903
0.6407,1.057104e+20,10.85209,0.2074,0.3913
0.6424,1.612495e+19,1.659655,0.2083,0.3923
0.6441,2.711408e+19,2.797955,0.2091,0.3933
0.6458,1.295206e+19,1.340029,0.21,0.3943
0.6474,5.687758e+17,0.05899958,0.2109,0.3953
0.6491,6.519795e+17,0.06780742,0.2118,0.3964
0.6508,1.590642e+16,0.001658647,0.2127,0.3974
0.6525,2.401215e+16,0.002510464,0.2136,0.3985
0.6543,3.577288e+18,0.3749914,0.2145,0.3995
0.656,6.121948e+18,0.6434346,0.2154,0.4006
0.6577,1.193594e+18,0.125783,0.2163,0.4016
0.6595,2.091031e+18,0.2209425,0.2173,0.4027
0.6612,12078870000000.0,1.279681e-06,0.2182,0.4038
0.663,7079045000000.0,7.519859e-07,0.2191,0.4049
0.6648,4.472831e+17,0.04764093,0.2201,0.4059
0.6666,2.913465e+17,0.03111526,0.221,0.407
0.6684,7359462000000000.0,0.0007880953,0.222,0.4081
0.6702,7.710672e+16,0.008279367,0.2229,0.4092
0.672,1.597801e+17,0.01720295,0.2239,0.4103
0.6738,1585985000000000.0,0.0001712213,0.2249,0.4115
0.6757,1.610396e+17,0.01743305,0.2258,0.4126
0.6775,1.294959e+17,0.01405664,0.2268,0.4137
0.6794,3.145224e+19,3.42346,0.2278,0.4148
0.6812,2.417299e+19,2.63837,0.2288,0.416
0.6831,7.966594e+19,8.71912,0.2298,0.4171
0.685,2.333275e+20,25.60731,0.2308,0.4182
0.6869,3.537451e+20,38.93049,0.2317,0.4193
0.6888,7.536748e+20,83.1741,0.2327,0.4204
0.6907,1.102073e+21,121.9614,0.2336,0.4213
0.6926,2.07032e+21,229.753,0.2344,0.4222
0.6946,1.777687e+21,197.8307,0.2352,0.4229
0.6965,2.301353e+21,256.8265,0.236,0.4237
0.6985,2.607627e+21,291.8258,0.2367,0.4243
0.7005,3.190863e+21,358.1059,0.2374,0.4249
0.7025,2.965652e+21,333.7736,0.238,0.4254
0.7045,3.541285e+21,399.6914,0.2386,0.4259
0.7065,3.358214e+21,380.1087,0.2392,0.4263
0.7085,3.604865e+21,409.1924,0.2398,0.4267
0.7105,3.339969e+21,380.2101,0.2404,0.4272
0.7126,3.597321e+21,410.6829,0.241,0.4276
0.7146,3.425592e+21,392.2047,0.2416,0.428
0.7167,3.65948e+21,420.194,0.2422,0.4284
0.7187,3.711416e+21,427.3927,0.2427,0.4287
0.7208,3.863115e+21,446.155,0.2433,0.4291
0.7229,3.884207e+21,449.8988,0.2438,0.4294
0.7251,3.814804e+21,443.152,0.2444,0.4297
0.7272,3.980271e+21,463.7297,0.2449,0.43
0.7285,4.083014e+21,476.5384,0.2452,0.4302
0.7293,3.984655e+21,465.6058,0.2454,0.4303
0.7297,4.092326e+21,478.4686,0.2455,0.4303
0.7302,4.122475e+21,482.2774,0.2456,0.4304
0.7306,3.592934e+21,420.5755,0.2457,0.4304
0.731,4.144173e+21,485.3876,0.2458,0.4305
0.7315,4.145942e+21,485.8813,0.2459,0.4305
0.7319,4.041697e+21,473.9439,0.246,0.4306
0.7323,4.163991e+21,488.5729,0.2461,0.4306
0.7328,4.072831e+21,478.1593,0.2462,0.4307
0.7332,3.789769e+21,445.1904,0.2463,0.4307
0.7336,4.022149e+21,472.7679,0.2464,0.4308
0.7341,4.053162e+21,476.6953,0.2465,0.4308
0.7345,4.103577e+21,482.9106,0.2466,0.4309
0.7349,3.993164e+21,470.1957,0.2467,0.4309
0.7354,4.091537e+21,482.0649,0.2468,0.431
0.7358,4.141565e+21,488.2487,0.2469,0.431
0.7362,3.838688e+21,452.8114,0.247,0.431
0.7367,4.046508e+21,477.6095,0.2471,0.4311
0.7371,3.934965e+21,464.7201,0.2472,0.4311
0.7376,3.750705e+21,443.2225,0.2473,0.4312
0.738,3.95791e+21,467.9863,0.2474,0.4313
0.7384,4.09402e+21,484.3685,0.2475,0.4313
0.7389,4.012277e+21,474.9802,0.2476,0.4314
0.7393,4.065237e+21,481.5367,0.2477,0.4314
0.7398,4.041912e+21,479.0595,0.2478,0.4314
0.7402,4.075706e+21,483.3532,0.2479,0.4315
0.7406,4.109361e+21,487.6357,0.248,0.4315
0.7411,4.112268e+21,488.2723,0.2481,0.4316
0.7415,4.013421e+21,476.8207,0.2482,0.4316
0.742,4.144899e+21,492.7358,0.2483,0.4317
0.7424,4.192114e+21,498.647,0.2484,0.4317
0.7429,4.061512e+21,483.4015,0.2485,0.4317
0.7433,4.043475e+21,481.5433,0.2486,0.4318
0.7438,3.962664e+21,472.2025,0.2487,0.4318
0.7442,3.357738e+21,400.3579,0.2488,0.4319
0.7446,3.969034e+21,473.5296,0.2489,0.432
0.7451,4.133996e+21,493.5071,0.249,0.432
0.7455,4.152131e+21,495.97,0.2491,0.432
0.746,4.083692e+21,488.0884,0.2492,0.4321
0.7464,4.164892e+21,498.0933,0.2493,0.4321
0.7469,4.147716e+21,496.338,0.2494,0.4322
0.7473,4.100921e+21,491.0341,0.2495,0.4322
0.7478,4.161427e+21,498.5794,0.2496,0.4322
0.7482,4.105134e+21,492.1318,0.2497,0.4323
0.7487,4.075211e+21,488.8396,0.2498,0.4323
0.7491,4.09176e+21,491.1213,0.2498,0.4324
0.7496,3.965295e+21,476.2298,0.2499,0.4324
0.7501,4.08538e+21,490.9488,0.25,0.4324
0.7505,4.095543e+21,492.4681,0.2501,0.4325
0.751,3.810733e+21,458.4987,0.2502,0.4325
0.7514,4.108592e+21,494.636,0.2503,0.4326
0.7519,3.981148e+21,479.5835,0.2504,0.4326
0.7523,3.935383e+21,474.3581,0.2505,0.4327
0.7528,4.130122e+21,498.1336,0.2506,0.4327
0.7532,3.938093e+21,475.2616,0.2507,0.4327
0.7537,3.944114e+21,476.2776,0.2508,0.4328
0.7542,4.033084e+21,487.3176,0.2509,0.4328
0.7546,3.878062e+21,468.8714,0.251,0.4329
0.7551,3.96931e+21,480.1959,0.2511,0.4329
0.7555,3.940172e+21,476.9614,0.2512,0.433
0.756,3.852559e+21,466.6401,0.2513,0.433
0.7565,3.937582e+21,477.2295,0.2514,0.433
0.7569,3.926989e+21,476.2362,0.2515,0.4331
0.7574,4.043236e+21,490.6332,0.2516,0.4331
0.7578,4.184996e+21,508.1458,0.2517,0.4332
0.7583,4.146803e+21,503.8163,0.2518,0.4332
0.7588,4.124142e+21,501.3698,0.2519,0.4332
0.7592,4.113922e+21,500.4337,0.252,0.4333
0.7597,4.204144e+21,511.722,0.2521,0.4333
0.7602,4.193778e+21,510.7732,0.2522,0.4333
0.7606,4.158814e+21,506.8255,0.2522,0.4333
0.7611,4.236466e+21,516.6057,0.2523,0.4334
0.7616,4.226741e+21,515.7365,0.2524,0.4334
0.762,4.210564e+21,514.0783,0.2525,0.4334
0.7625,4.184128e+21,511.1649,0.2526,0.4335
0.763,4.143484e+21,506.511,0.2527,0.4335
0.7634,4.220531e+21,516.2472,0.2528,0.4335
0.7639,4.208747e+21,515.1229,0.2529,0.4335
0.7644,4.115726e+21,504.0484,0.253,0.4336
0.7649,4.052084e+21,496.5604,0.253,0.4336
0.7653,4.04787e+21,496.3501,0.2531,0.4336
0.7658,4.152549e+21,509.5004,0.2532,0.4337
0.7663,4.188199e+21,514.1921,0.2533,0.4337
0.7668,4.02817e+21,494.8509,0.2534,0.4337
0.7672,3.949591e+21,485.4979,0.2535,0.4337
0.7677,4.12253e+21,507.07,0.2536,0.4338
0.7682,4.069467e+21,500.8534,0.2537,0.4338
0.7687,4.041631e+21,497.7358,0.2538,0.4338
0.7691,3.924757e+21,483.6424,0.2539,0.4339
0.7696,3.850231e+21,474.7532,0.254,0.4339
0.7701,3.687174e+21,454.9298,0.2541,0.434
0.7706,3.843859e+21,474.5565,0.2542,0.434
0.771,3.881095e+21,479.4516,0.2543,0.434
0.7715,3.92542e+21,485.2291,0.2544,0.4341
0.772,4.060047e+21,502.1831,0.2545,0.4341
0.7725,3.975749e+21,492.0628,0.2545,0.4342
0.773,3.827405e+21,473.9981,0.2546,0.4342
0.7735,3.745826e+21,464.1845,0.2547,0.4342
0.7739,3.741491e+21,463.9367,0.2548,0.4343
0.7744,3.719493e+21,461.4971,0.255,0.4343
0.7749,3.95983e+21,491.624,0.255,0.4344
0.7754,4.017481e+21,499.0935,0.2551,0.4344
0.7759,4.21192e+21,523.5762,0.2552,0.4344
0.7764,4.083459e+21,507.9253,0.2553,0.4344
0.7768,4.036177e+21,502.3587,0.2554,0.4345
0.7773,4.254474e+21,529.8608,0.2555,0.4345
0.7778,4.213753e+21,525.1185,0.2556,0.4345
0.7783,4.240132e+21,528.7375,0.2557,0.4345
0.7788,4.132544e+21,515.6453,0.2557,0.4345
0.7793,3.956664e+21,494.0099,0.2558,0.4346
0.7798,3.946271e+21,493.022,0.2559,0.4346
0.7803,3.784723e+21,473.1369,0.256,0.4346
0.7808,4.082286e+21,510.6573,0.2561,0.4347
0.7812,4.106388e+21,513.9959,0.2562,0.4347
0.7817,4.141717e+21,518.7449,0.2563,0.4347
0.7822,4.183199e+21,524.271,0.2564,0.4347
0.7827,4.018757e+21,503.9799,0.2565,0.4347
0.7832,3.987152e+21,500.3323,0.2565,0.4348
0.7837,3.889576e+21,488.3963,0.2566,0.4348
0.7842,3.990511e+21,501.3872,0.2567,0.4348
0.7847,3.917923e+21,492.5784,0.2568,0.4349
0.7852,3.78389e+21,476.0285,0.2569,0.4349
0.7857,3.751817e+21,472.2927,0.257,0.4349
0.7862,3.439903e+21,433.3024,0.2571,0.435
0.7867,3.922254e+21,494.3746,0.2572,0.435
0.7872,3.803114e+21,479.6621,0.2573,0.4351
0.7877,3.822949e+21,482.4701,0.2574,0.4351
0.7882,3.69904e+21,467.1291,0.2575,0.4351
0.7887,3.750035e+21,473.8702,0.2576,0.4352
0.7892,3.700692e+21,467.9326,0.2577,0.4352
0.7897,3.798592e+21,480.6175,0.2578,0.4353
0.7902,3.991608e+21,505.3608,0.2579,0.4353
0.7907,4.026244e+21,510.071,0.258,0.4353
0.7912,4.110096e+21,521.0262,0.2581,0.4353
0.7917,4.092409e+21,519.1153,0.2582,0.4353
0.7922,4.159744e+21,527.9939,0.2582,0.4354
0.7927,4.0797e+21,518.1651,0.2583,0.4354
0.7932,4.13436e+21,525.4433,0.2584,0.4354
0.7938,4.140201e+21,526.5226,0.2585,0.4354
0.7943,4.170247e+21,530.6834,0.2586,0.4354
0.7948,4.095339e+21,521.485,0.2586,0.4354
0.7953,4.124392e+21,525.5214,0.2587,0.4354
0.7958,4.122602e+21,525.6306,0.2588,0.4354
0.7963,4.147466e+21,529.1403,0.2589,0.4354
0.7968,4.024452e+21,513.776,0.259,0.4355
0.7973,4.085246e+21,521.8725,0.2591,0.4355
0.7978,4.033943e+21,515.6504,0.2591,0.4355
0.7984,4.126229e+21,527.7867,0.2592,0.4355
0.7989,4.125853e+21,528.0786,0.2593,0.4355
0.7994,4.099097e+21,524.9924,0.2594,0.4355
0.7999,4.080892e+21,522.998,0.2595,0.4355
0.8004,4.126118e+21,529.1355,0.2595,0.4355
0.8009,4.017672e+21,515.561,0.2596,0.4356
0.8014,4.105196e+21,527.133,0.2597,0.4356
0.802,4.123046e+21,529.7674,0.2598,0.4356
0.8025,4.148592e+21,533.3949,0.2599,0.4356
0.803,4.066564e+21,523.1869,0.2599,0.4356
0.8035,4.058369e+21,522.471,0.26,0.4356
0.804,4.008651e+21,516.405,0.2601,0.4356
0.8046,3.99744e+21,515.295,0.2602,0.4356
0.8051,3.928418e+21,506.7264,0.2603,0.4356
0.8056,4.039765e+21,521.4277,0.2604,0.4357
0.8061,4.018158e+21,518.976,0.2604,0.4357
0.8067,4.030081e+21,520.8545,0.2605,0.4357
0.8072,4.041053e+21,522.6127,0.2606,0.4357
0.8077,3.918914e+21,507.1472,0.2607,0.4357
0.8082,3.941453e+21,510.3964,0.2608,0.4357
0.8088,4.053991e+21,525.3119,0.2609,0.4357
0.8093,4.064312e+21,526.9931,0.2609,0.4357
0.8098,3.930176e+21,509.9333,0.261,0.4357
0.8104,3.711472e+21,481.8716,0.2611,0.4358
0.8109,3.954126e+21,513.7119,0.2612,0.4358
0.8114,4.045452e+21,525.9207,0.2613,0.4358
0.8119,3.790591e+21,493.1108,0.2614,0.4358
0.8125,3.858899e+21,502.3257,0.2614,0.4358
0.813,3.727332e+21,485.5174,0.2615,0.4359
0.8135,3.957858e+21,515.8838,0.2616,0.4359
0.8141,4.01677e+21,523.9063,0.2617,0.4359
0.8146,3.776096e+21,492.8388,0.2618,0.4359
0.8151,3.929673e+21,513.2203,0.2619,0.4359
0.8157,3.771496e+21,492.8861,0.262,0.4359
0.8162,3.47759e+21,454.7756,0.2621,0.436
0.8168,3.580656e+21,468.5623,0.2622,0.436
0.8173,3.533611e+21,462.7109,0.2623,0.436
0.8178,3.633294e+21,476.0778,0.2623,0.4361
0.8184,3.751765e+21,491.9258,0.2624,0.4361
0.8189,3.180428e+21,417.2884,0.2625,0.4361
0.8195,3.408699e+21,447.5343,0.2627,0.4362
0.82,3.658645e+21,480.6678,0.2627,0.4362
0.8205,3.708259e+21,487.5086,0.2628,0.4363
0.8211,3.781703e+21,497.4931,0.2629,0.4363
0.8216,2.607559e+21,343.2587,0.263,0.4363
0.8222,3.383788e+21,445.7368,0.2632,0.4364
0.8227,3.545483e+21,467.3463,0.2633,0.4365
0.8233,3.57435e+21,471.4641,0.2634,0.4365
0.8238,2.547016e+21,336.1799,0.2635,0.4366
0.8244,2.21415e+21,292.4394,0.2636,0.4367
0.8249,2.54942e+21,336.9451,0.2638,0.4368
0.8255,3.213405e+21,424.9835,0.2639,0.4369
0.826,3.64583e+21,482.4945,0.264,0.4369
0.8266,3.43423e+21,454.7939,0.2641,0.4369
0.8271,2.975781e+21,394.3446,0.2642,0.437
0.8277,2.588893e+21,343.304,0.2644,0.4371
0.8282,3.112496e+21,413.0128,0.2645,0.4372
0.8288,2.290886e+21,304.1924,0.2646,0.4373
0.8293,2.476367e+21,329.0413,0.2648,0.4374
0.8299,2.75763e+21,366.6587,0.2649,0.4375
0.8304,2.45347e+21,326.4356,0.2651,0.4376
0.831,2.217134e+21,295.1886,0.2652,0.4377
0.8316,2.661782e+21,354.6267,0.2654,0.4378
0.8321,2.347511e+21,312.9666,0.2655,0.4379
0.8327,2.543181e+21,339.2807,0.2656,0.438
0.8332,1.259867e+21,168.1893,0.2658,0.4382
0.8338,8.094135e+20,108.1275,0.266,0.4384
0.8343,1.644102e+21,219.7792,0.2662,0.4386
0.8349,1.662458e+21,222.3826,0.2664,0.4388
0.8355,1.824176e+21,244.1797,0.2666,0.4389
0.836,1.967751e+21,263.5759,0.2668,0.4391
0.8366,7.730069e+20,103.6124,0.267,0.4393
0.8372,1.520596e+21,203.9555,0.2672,0.4395
0.8377,7.981417e+20,107.126,0.2674,0.4397
0.8383,1.576446e+21,211.7325,0.2676,0.4399
0.8389,8.321802e+20,111.8458,0.2678,0.4401
0.8394,9.123378e+20,122.702,0.268,0.4404
0.84,8.979782e+20,120.8526,0.2683,0.4406
0.8406,2.405667e+21,323.9814,0.2685,0.4408
0.8411,1.265717e+21,170.5751,0.2686,0.4409
0.8417,9.109408e+20,122.8468,0.2688,0.4411
0.8423,6.056995e+20,81.73838,0.2691,0.4414
0.8429,2.306666e+20,31.14933,0.2693,0.4416
0.8434,6.407274e+20,86.58298,0.2696,0.4419
0.844,1.220779e+21,165.079,0.2698,0.4421
0.8446,9.883228e+20,133.7363,0.27,0.4424
0.8452,4.621691e+20,62.58171,0.2703,0.4426
0.8457,8.340396e+20,113.0132,0.2705,0.4428
0.8463,1.192169e+21,161.6504,0.2707,0.4431
0.8469,1.93449e+21,262.4836,0.2709,0.4432
0.8475,5.495727e+20,74.62037,0.2711,0.4435
0.848,1.657076e+21,225.1499,0.2713,0.4437
0.8486,1.143089e+21,155.4199,0.2715,0.4439
0.8492,1.079395e+21,146.8602,0.2717,0.4441
0.8498,2.05635e+21,279.9745,0.2719,0.4443
0.8504,1.716879e+21,233.9153,0.2721,0.4444
0.851,1.469338e+21,200.3266,0.2723,0.4446
0.8515,1.109248e+21,151.3366,0.2725,0.4448
0.8521,8.273247e+20,112.9509,0.2727,0.445
0.8527,1.717265e+21,234.6116,0.273,0.4452
0.8533,1.02106e+21,139.5926,0.2732,0.4454
0.8539,7.75122e+20,106.0425,0.2734,0.4457
0.8545,1.398047e+20,19.13952,0.2736,0.4459
0.8551,3.393141e+20,46.48475,0.2739,0.4462
0.8557,1.261582e+21,172.9513,0.2741,0.4465
0.8562,1.426129e+21,195.6441,0.2743,0.4467
0.8568,4.455036e+20,61.15885,0.2746,0.4469
0.8574,2.835176e+20,38.94828,0.2748,0.4472
0.858,6.094843e+20,83.78596,0.2751,0.4474
0.8586,7.554121e+20,103.9186,0.2753,0.4477
0.8592,5.497639e+20,75.68094,0.2756,0.448
0.8598,4.421432e+20,60.90799,0.2758,0.4482
0.8604,3.863458e+20,53.25849,0.2761,0.4485
0.861,4.801211e+20,66.23155,0.2763,0.4488
0.8616,6.175067e+20,85.24276,0.2766,0.449
0.8622,1.601311e+20,22.12042,0.2769,0.4493
0.8628,3.600046e+20,49.76544,0.2771,0.4496
0.8634,4.611022e+20,63.78511,0.2774,0.4499
0.864,2.569515e+20,35.56935,0.2776,0.4502
0.8646,2.50979e+20,34.7668,0.2779,0.4505
0.8652,4.281451e+20,59.3501,0.2782,0.4508
0.8658,3.003885e+19,4.166937,0.2785,0.4511
0.8664,5.96759e+20,82.8392,0.2787,0.4513
0.867,7.313968e+20,101.6,0.279,0.4516
0.8676,4.504701e+20,62.61961,0.2792,0.4519
0.8682,5.390044e+19,7.497918,0.2795,0.4522
0.8688,5.845715e+20,81.37487,0.2798,0.4525
0.8695,3.272168e+20,45.58192,0.28,0.4527
0.8701,3.037122e+20,42.33739,0.2803,0.453
0.8707,1.990201e+20,27.76282,0.2806,0.4533
0.8713,1.078682e+20,15.05792,0.2808,0.4536
0.8719,5.407148e+20,75.53448,0.2811,0.4539
0.8725,1.067604e+20,14.92426,0.2814,0.4542
0.8731,9.616615e+19,13.45273,0.2817,0.4545
