hv(eV),n(hV),I(hv)(eV),eta_SQ,eta_UL
3.62,8.281717e+19,48.03263,0.0082,0.0098
3.6253,7.947786e+19,46.16328,0.008,0.0096
3.6306,7.589726e+19,44.1481,0.0079,0.0094
3.6359,7.589281e+19,44.21024,0.0077,0.0091
3.6412,8.025919e+19,46.82246,0.0075,0.0089
3.6466,8.008009e+19,46.78668,0.0073,0.0087
3.652,7.538347e+19,44.10755,0.0071,0.0085
3.6574,7.332513e+19,42.96648,0.0069,0.0082
3.6628,7.16972e+19,42.07461,0.0067,0.008
3.6682,6.806237e+19,40.00064,0.0065,0.0078
3.6736,6.25161e+19,36.7955,0.0064,0.0076
3.6791,5.808796e+19,34.23993,0.0062,0.0074
3.6845,5.912006e+19,34.90008,0.0061,0.0072
3.69,6.394725e+19,37.80587,0.0059,0.0071
3.6955,6.947964e+19,41.13785,0.0057,0.0068
3.701,7.081043e+19,41.98837,0.0056,0.0066
3.7066,6.763841e+19,40.16741,0.0054,0.0064
3.7121,6.277884e+19,37.33734,0.0052,0.0062
3.7177,6.133313e+19,36.5322,0.005,0.006
3.7232,6.438613e+19,38.40827,0.0049,0.0058
3.7288,6.555179e+19,39.16242,0.0047,0.0056
3.7345,6.48167e+19,38.78158,0.0045,0.0054
3.7401,6.183671e+19,37.05437,0.0043,0.0052
3.7457,5.928386e+19,35.57829,0.0042,0.005
3.7514,6.273578e+19,37.70687,0.004,0.0048
3.7571,6.878272e+19,41.40397,0.0038,0.0046
3.7628,6.809144e+19,41.05005,0.0036,0.0043
3.7685,6.106851e+19,36.87211,0.0035,0.0041
3.7743,5.349162e+19,32.34647,0.0033,0.0039
3.78,5.031341e+19,30.47098,0.0031,0.0038
3.7858,5.486013e+19,33.27531,0.003,0.0036
3.7916,5.651308e+19,34.33032,0.0028,0.0034
3.7974,5.754874e+19,35.01299,0.0027,0.0032
3.8032,5.362445e+19,32.67547,0.0025,0.003
3.809,4.541899e+19,27.71807,0.0024,0.0028
3.8149,3.887926e+19,23.76355,0.0022,0.0027
3.8208,3.929252e+19,24.05314,0.0021,0.0025
3.8267,3.802847e+19,23.31527,0.002,0.0024
3.8326,3.417422e+19,20.98461,0.0019,0.0023
3.8385,2.904243e+19,17.86105,0.0018,0.0022
3.8445,2.956556e+19,18.21097,0.0017,0.0021
3.8504,3.009792e+19,18.56766,0.0016,0.002
3.8564,3.217074e+19,19.87726,0.0015,0.0018
3.8624,3.360694e+19,20.79699,0.0014,0.0017
3.8685,3.278312e+19,20.31884,0.0013,0.0016
3.8745,2.731068e+19,16.95349,0.0012,0.0015
3.8806,2.594072e+19,16.12827,0.0012,0.0014
3.8867,2.698032e+19,16.80092,0.0011,0.0013
3.8928,2.438868e+19,15.21092,0.001,0.0012
3.8989,2.297223e+19,14.35002,0.0009,0.0011
3.905,2.371004e+19,14.83423,0.0009,0.001
3.9112,2.219226e+19,13.90654,0.0008,0.0009
3.9174,1.935578e+19,12.14824,0.0007,0.0009
3.9235,1.582031e+19,9.944994,0.0007,0.0008
3.9298,1.509502e+19,9.504096,0.0006,0.0007
3.936,1.729121e+19,10.90414,0.0006,0.0007
3.9423,1.649538e+19,10.41881,0.0005,0.0006
3.9485,1.504541e+19,9.518114,0.0005,0.0005
3.9548,1.345739e+19,8.527074,0.0004,0.0005
3.9612,1.336323e+19,8.480932,0.0004,0.0004
3.9675,1.226513e+19,7.796484,0.0003,0.0004
3.9739,1.151479e+19,7.331253,0.0003,0.0003
3.9802,1.031868e+19,6.580253,0.0002,0.0003
3.9866,1.012764e+19,6.468809,0.0002,0.0003
3.993,7.966149e+18,5.096399,0.0002,0.0002
3.9995,6.161588e+18,3.948276,0.0002,0.0002
4.006,5.212994e+18,3.345824,0.0001,0.0002
4.0124,4.855702e+18,3.121549,0.0001,0.0001
4.0189,4.938984e+18,3.180234,0.0001,0.0001
4.0255,4.488756e+18,2.895022,0.0001,0.0001
4.032,4.206969e+18,2.717695,0.0001,0.0001
4.0386,3.271763e+18,2.116996,0.0001,0.0001
4.0452,2.467719e+18,1.599344,0.0,0.0001
4.0518,2.16121e+18,1.402982,0.0,0.0
4.0584,2.167073e+18,1.40909,0.0,0.0
4.0651,1.896556e+18,1.235215,0.0,0.0
4.0717,1.370238e+18,0.8938924,0.0,0.0
4.0784,1.08027e+18,0.7058875,0.0,0.0
4.0851,1.019261e+18,0.667119,0.0,0.0
4.0919,8.013216e+17,0.5253404,0.0,0.0
4.0987,4.81485e+17,0.3161797,0.0,0.0
4.1054,3.26659e+17,0.2148643,0.0,0.0
4.1122,2.995004e+17,0.1973271,0.0,0.0
4.1191,2.137046e+17,0.1410341,0.0,0.0
4.1259,1.371703e+17,0.09067594,0.0,0.0
4.1328,1.118752e+17,0.074078,0.0,0.0
4.1397,9.388352e+16,0.0622686,0.0,0.0
4.1466,5.341127e+16,0.03548447,0.0,0.0
4.1536,3.864913e+16,0.02572006,0.0,0.0
4.1605,3.114757e+16,0.02076273,0.0,0.0
4.1675,1.98938e+16,0.01328334,0.0,0.0
4.1746,1.029679e+16,0.006886872,0.0,0.0
4.1816,7550832000000000.0,0.00505879,0.0,0.0
4.1887,5044337000000000.0,0.003385236,0.0,0.0
4.1957,2915281000000000.0,0.001959745,0.0,0.0
4.2029,1281077000000000.0,0.0008626402,0.0,0.0
4.21,683551000000000.0,0.0004610651,0.0,0.0
4.2171,430718200000000.0,0.0002910198,0.0,0.0
4.2243,233099400000000.0,0.0001577647,0.0,0.0
4.2315,88309090000000.0,5.98707e-05,0.0,0.0
4.2388,43372060000000.0,2.945512e-05,0.0,0.0
4.246,27122290000000.0,1.845101e-05,0.0,0.0
4.2533,10975310000000.0,7.479198e-06,0.0,0.0
4.2606,3507106000000.0,2.394046e-06,0.0,0.0
4.268,1371953000000.0,9.381446e-07,0.0,0.0
4.2753,595822300000.0,4.08127e-07,0.0,0.0
